unix_timestamp,steps
1736211478661045,0
1736211483661045,0
1736211488661045,0
1736211493661045,0
1736211498661045,0
1736211503661045,0
1736211508661044,0
1736211513661044,0
1736211518661044,6
1736211523661044,0
1736211528661044,0
1736211533661044,0
1736211538661044,5
1736211543661044,0
1736211548661044,0
1736211553661044,0
1736211558661044,0
1736211563661044,0
1736211568661044,0
1736211573661044,0
1736211578661044,0
1736211583661044,0
1736211588661043,0
1736211593661043,0
1736211598661043,0
1736211603661043,0
1736211608661043,0
1736211613661043,0
1736211618661043,0
1736211623661043,0
1736211628661043,0
1736211633661043,0
1736211638661042,0
1736211643661042,0
1736211648661042,0
1736211653661042,0
1736211658661042,0
1736211663661042,0
1736211668661042,0
1736211673661042,0
1736211678661042,0
1736211683661042,0
1736211688661042,0
1736211693661042,0
1736211698661042,0
1736211703661042,0
1736211708661042,0
1736211713661042,0
1736211718661042,0
1736211723661041,0
1736211728661041,0
1736211733661041,0
1736211738661041,0
1736211743661041,0
1736211748661041,6
1736211753661041,0
1736211758661041,0
1736211763661041,0
1736211768661041,0
1736211773661040,0
1736211778661040,7
1736211783661040,10
1736211788661040,8
1736211793661040,0
1736211798661040,0
1736211803661040,0
1736211808661040,0
1736211813661040,0
1736211818661040,0
1736211823661040,0
1736211828661040,0
1736211833661040,0
1736211838661040,0
1736211843661040,0
1736211848661040,0
1736211853661040,0
1736211858661039,0
1736211863661039,0
1736211868661039,0
1736211873661039,0
1736211878661039,0
1736211883661039,0
1736211888661039,0
1736211893661039,0
1736211898661039,0
1736211903661039,0
1736211908661038,0
1736211913661038,0
1736211918661038,0
1736211923661038,0
1736211928661038,0
1736211933661038,0
1736211938661038,0
1736211943661038,0
1736211948661038,0
1736211953661038,0
1736211958661038,0
1736211963661038,0
1736211968661038,0
1736211973661038,0
1736211978661038,0
1736211983661038,0
1736211988661038,0
1736211993661037,0
1736211998661037,0
1736212003661037,0
1736212008661037,7
1736212013661037,0
1736212018661037,5
1736212023661037,0
1736212028661037,0
1736212033661037,0
1736212038661037,0
1736212043661036,0
1736212048661036,0
1736212053661036,0
1736212058661036,0
1736212063661036,0
1736212068661036,0
1736212073661036,0
1736212078661036,0
1736212083661036,0
1736212088661036,0
1736212093661036,0
1736212098661036,0
1736212103661036,0
1736212108661036,0
1736212113661036,0
1736212118661036,0
1736212123661036,0
1736212128661035,0
1736212133661035,0
1736212138661035,0
1736212143661035,0
1736212148661035,0
1736212153661035,0
1736212158661035,0
1736212163661035,0
1736212168661035,0
1736212173661035,0
1736212178661034,0
1736212183661034,0
1736212188661034,0
1736212193661034,0
1736212198661034,0
1736212203661034,0
1736212208661034,0
1736212213661034,0
1736212218661034,0
1736212223661034,0
1736212228661034,0
1736212233661034,0
1736212238661034,0
1736212243661034,0
1736212248661034,0
1736212253661034,0
1736212258661034,0
1736212263661033,5
1736212268661033,0
1736212273661033,0
1736212278661033,0
1736212283661033,0
1736212288661033,0
1736212293661033,0
1736212298661033,0
1736212303661033,0
1736212308661033,0
1736212313661032,0
1736212318661032,0
1736212323661032,0
1736212328661032,0
1736212333661032,0
1736212338661032,0
1736212343661032,0
1736212348661032,0
1736212353661032,0
1736212358661032,0
1736212363661032,0
1736212368661032,0
1736212373661032,0
1736212378661032,0
1736212383661032,0
1736212388661032,0
1736212393661031,0
1736212398661031,0
1736212403661031,6
1736212408661031,5
1736212413661031,8
1736212418661031,0
1736212423661031,0
1736212428661031,0
1736212433661031,0
1736212438661031,0
1736212443661030,0
1736212448661030,0
1736212453661030,0
1736212458661030,0
1736212463661030,0
1736212468661030,0
1736212473661030,0
1736212478661030,0
1736212483661030,0
1736212488661030,0
1736212493661030,0
1736212498661030,0
1736212503661030,0
1736212508661030,0
1736212513661030,0
1736212518661030,0
1736212523661030,0
1736212528661029,0
1736212533661029,0
1736212538661029,0
1736212543661029,0
1736212548661029,0
1736212553661029,0
1736212558661029,0
1736212563661029,0
1736212568661029,0
1736212573661029,0
1736212578661028,0
1736212583661028,0
1736212588661028,0
1736212593661028,0
1736212598661028,0
1736212603661028,0
1736212608661028,0
1736212613661028,0
1736212618661028,0
1736212623661028,0
1736212628661028,0
1736212633661028,0
1736212638661028,0
1736212643661028,0
